project_name|approved_amount_zmw|year_funded|sector|status|source_doc|page|council|constituency|funding_source|scraped_at
Completed Chowa Clinic Njanji Kabwe Central 6|8966.0|2022|Health|Completed|NEWSLETTER_2024|2|Kabwe Municipal Council|Kabwe Central|CDF|2026-09-12T15:35:01
Mahatma Ghandi Clinic 4|80155.0|2022|Health|Completed|NEWSLETTER_2024|2|Kabwe Municipal Council|Kabwe Central|CDF|2026-09-12T15:35:01
Block Katuntulu Primary School 4|298068.0|2022|Education|Completed|NEWSLETTER_2024|4|Kabwe Municipal Council|Kabwe Central|CDF|2026-09-12T15:35:01
Boccs Primary School 5|266874.0|2022|Education|Completed|NEWSLETTER_2024|4|Kabwe Municipal Council|Kabwe Central|CDF|2026-09-12T15:35:01
X3 Classroom Block at|840609.0|2022|Education|Completed|NEWSLETTER_2024|4|Kabwe Municipal Council|Kabwe Central|CDF|2026-09-12T15:35:01
Kakama Primary School 10|20000.0|2022|Education|Completed|NEWSLETTER_2024|4|Kabwe Municipal Council|Kabwe Central|CDF|2026-09-12T15:35:01
Ablution Block At Highridge 12|115060.0|2023|Unknown|Completed|NEWSLETTER_2024|4|Kabwe Municipal Council|Kabwe Central|CDF|2026-09-12T15:35:01
Secondary Ablution Block 18|10436.0|2023|Unknown|Completed|NEWSLETTER_2024|5|Kabwe Municipal Council|Kabwe Central|CDF|2026-09-12T15:35:01
Market Ablution Block 1|743716.74|2022|Commerce|Completed|NEWSLETTER_2024|9|Kabwe Municipal Council|Kabwe Central|CDF|2026-09-12T15:35:01
Water Reticulation Bwacha 64|9126.82|2022|Water and Sanitation|Completed|NEWSLETTER_2024|9|Kabwe Municipal Council|Kabwe Central|CDF|2026-09-12T15:35:01
Modern Market Bwacha 4|6126.0|2022|Commerce|Completed|NEWSLETTER_2024|9|Kabwe Municipal Council|Kabwe Central|CDF|2026-09-12T15:35:01
Rehabilitation Of Njanji Kabwe 5|459000.0|2022|Unknown|Completed|NEWSLETTER_2024|9|Kabwe Municipal Council|Kabwe Central|CDF|2026-09-12T15:35:01
