project_no|project_name|description|sector|ward|site|engineer_estimate_zmw|approved_amount_zmw|source_doc|council|constituency|status|funding_source|scraped_at
1.0|Construction of 1x3 CRB David Ramusho Secondary School|Construction of 1x3 CRB David Ramusho Secondary School|Education|David Ramusho|David Ramusho Secondary School|1703868.67|1703868.67|CDF_PROJECTS_2025|Kabwe Municipal Council|Kabwe Central|Approved|CDF|2026-09-12T19:54:27
2.0|Construction of 1x3 CRB at Kasanda Malombe Secondary School|Construction of 1x3 CRB at Kasanda Malombe Secondary School|Education|Chirwa|Kasanda Malombe Secondary School|1703868.67|1703868.67|CDF_PROJECTS_2025|Kabwe Municipal Council|Kabwe Central|Approved|CDF|2026-09-12T19:54:27
3.0|Procurement of 500 ordinary and 40 special Desks|Procurement of 500 ordinary and 40 special Desks|Education|Various Wards|Various schools|1100000.0|1100000.0|CDF_PROJECTS_2025|Kabwe Municipal Council|Kabwe Central|Approved|CDF|2026-09-12T19:54:27
4.0|Construction of an Ablution block at C gate Community School|Construction of an Ablution block at C gate Community School|Education|Kaputula|C-Gate community school|750000.0|750000.0|CDF_PROJECTS_2025|Kabwe Municipal Council|Kabwe Central|Approved|CDF|2026-09-12T19:54:27
5.0|Construction of an Ablution Block at Mpima Prison Primary School|Construction of an Ablution Block at Mpima Prison Primary School|Education|Mpima|Mpima Prison Primary School|750000.0|750000.0|CDF_PROJECTS_2025|Kabwe Municipal Council|Kabwe Central|Approved|CDF|2026-09-12T19:54:27
6.0|Construction of an Ablution Block at Katondo BOCCS Primary School|Construction of an Ablution Block at Katondo BOCCS Primary School|Education|Katondo|Katondo BOCCs Primary School|750000.0|750000.0|CDF_PROJECTS_2025|Kabwe Municipal Council|Kabwe Central|Approved|CDF|2026-09-12T19:54:27
7.0|Constuction of an Ablution Block at Kamushanga Market|Constuction of an Ablution Block at Kamushanga Market|Education|Kalonga|Kamushanga Market|940678.8|940678.8|CDF_PROJECTS_2025|Kabwe Municipal Council|Kabwe Central|Approved|CDF|2026-09-12T19:54:27
8.0|01 installation of solar powerd water reticulated system with lockable water Kiosks in Waya Community|01 installation of solar powerd water reticulated system with lockable water Kiosks in Waya Community|Water and Sanitation|Waya|Waya Community|940678.8|940678.8|CDF_PROJECTS_2025|Kabwe Municipal Council|Kabwe Central|Approved|CDF|2026-09-12T19:54:27
9.0|Construction of a Maternity Wing at Mpima Dairy Clinic|Construction of a Maternity Wing at Mpima Dairy Clinic|Health|Mpima|Dairy Clinic|2666954.72|2666954.72|CDF_PROJECTS_2025|Kabwe Municipal Council|Kabwe Central|Approved|CDF|2026-09-12T19:54:27
10.0|installation of a solar powered water reticulated system at Njanji market|installation of a solar powered water reticulated system at Njanji market|Water and Sanitation|Njanji|Njanji market|251787.28|251787.28|CDF_PROJECTS_2025|Kabwe Municipal Council|Kabwe Central|Approved|CDF|2026-09-12T19:54:27
11.0|Procurement of Medical Equipment for Magandanyama and Katondo clinic|Procurement of Medical Equipment for Magandanyama and Katondo clinic|Health|David Ramushu And Luansase|Magandanyama and Katondo clinic|1100000.0|1100000.0|CDF_PROJECTS_2025|Kabwe Municipal Council|Kabwe Central|Approved|CDF|2026-09-12T19:54:27
12.0|Additional fund roads|Additional fund roads|Roads and Drainages|Various Wards|various roads in Kabwe Central|464821.35|464821.35|CDF_PROJECTS_2025|Kabwe Municipal Council|Kabwe Central|Approved|CDF|2026-09-12T19:54:27
13.0|installation of a solar powered water reticulated system at Kamushanga market|installation of a solar powered water reticulated system at Kamushanga market|Water and Sanitation|Kalonga|Kamushanga market|251787.28|251787.28|CDF_PROJECTS_2025|Kabwe Municipal Council|Kabwe Central|Approved|CDF|2026-09-12T19:54:27
14.0|installation of a solar powered water reticulated system at C-gate Community school|installation of a solar powered water reticulated system at C-gate Community school|Education|Kaputula|C-gate Community school|251787.28|251787.28|CDF_PROJECTS_2025|Kabwe Municipal Council|Kabwe Central|Approved|CDF|2026-09-12T19:54:27
15.0|procurement of tipper ruck|procurement of tipper ruck|Roads and Drainages|Unknown|various roads in Kabwe Central|1700000.0|1700000.0|CDF_PROJECTS_2025|Kabwe Municipal Council|Kabwe Central|Approved|CDF|2026-09-12T19:54:27
1.0|Completion of Kabwe General Hospital Relative waiting shelter|Unknown|Health|Luangwa|Kabwe General Hospita|280109.85|280109.85|CDF_PROJECTS_2025|Kabwe Municipal Council|Kabwe Central|Approved|CDF|2026-09-12T19:54:27
2.0|Proposed Extension and rehabilitation of waya market shelter|Unknown|Commerce|Waya|Waya Market|789451.46|789451.46|CDF_PROJECTS_2025|Kabwe Municipal Council|Kabwe Central|Approved|CDF|2026-09-12T19:54:27
3.0|Proposed completion of Nakoli Market shelter|Unknown|Commerce|Nakoli|Nakoli Market|539451.46|539451.46|CDF_PROJECTS_2025|Kabwe Municipal Council|Kabwe Central|Approved|CDF|2026-09-12T19:54:27
4.0|Additional funds for njanji market structure|Unknown|Commerce|Njanji|Njanji Market|400000.0|400000.0|CDF_PROJECTS_2025|Kabwe Municipal Council|Kabwe Central|Approved|CDF|2026-09-12T19:54:27
5.0|Additional funds for kasanda market structure|Unknown|Commerce|Justin Kabwe|Kasanda Market|310000.0|310000.0|CDF_PROJECTS_2025|Kabwe Municipal Council|Kabwe Central|Approved|CDF|2026-09-12T19:54:27
6.0|Completion of Double storey CRB at Family Future Community School|Unknown|Education|Lukanga|Family Future Community school|488186.05|488186.05|CDF_PROJECTS_2025|Kabwe Municipal Council|Kabwe Central|Approved|CDF|2026-09-12T19:54:27
