page|source_doc|Program|Activities|Location|Target|Responsible|Indicator
170|IDP_MAIN|"Infrastructure
development"|Objective 1: To develop and maintain 250km of safe and sustainable road network and drainage system by 2027||||
170|IDP_MAIN||"Rehabilitation of
50Km damaged
township roads and
drainages"|Entire district|50km|"Kabwe Municipal
Council and RDA"|
170|IDP_MAIN||"Construction and
maintenance of 150
km feeder roads and
drainages"|Entire district|"150k
m"|"Kabwe Municipal
Council and RDA"|
170|IDP_MAIN||"Construction and
maintenance of 50 Km
township roads and
drainages"|Entire district|50km|"Kabwe Municipal
Council and RDA"|
170|IDP_MAIN||"Gazetting/Street
/naming of 120
undefined
township/feeder
roads"|Entire district|"120
street
s"|"Kabwe Municipal
Council"|
170|IDP_MAIN||"Procurement of road
cinstruction
equioment (grader,
compactor, tipper,
excavator)"|Entire district|7|Kabwe M. Council|
170|IDP_MAIN||Objective 2: To construct 2 bridges by 2027||||
200|IDP_MAIN|To reduce the rate of deforestation from 85% to 20% by the end of 2027|||||
200|IDP_MAIN|"Forestry
management"|"Development of
Integrated Natural
Resource
Management Plan"|CBD|1||
200|IDP_MAIN|"Forestry
management"|"Conducting 30
Beekeeping trainings
to 900 farmers"|"All
Wards"|30||
200|IDP_MAIN|"Forestry
management"|"Conducting 5
Mushroom
propagation
trainings to 150
Farmers"|"All
Wards"|5||
280|IDP_MAIN|To reduce the rate of deforestation from by the end of 2027|||||
280|IDP_MAIN|"Forestry
management"|"Development of
Integrated Natural
Resource Management
Plan"|CBD|||"No. of plans
prepared"
280|IDP_MAIN|"Forestry
management"|"Conducting 30
Beekeeping trainings
to 900 farmers"|All Wards|||"No. trainings
conducted, No.
trained"
280|IDP_MAIN|"Forestry
management"|"Conducting 5
Mushroom
propagation trainings
to 150 farmers"|All Wards|||"No. trainings
conducted, No.
trained"
340|IDP_MAIN||To reduce the rate of deforestation from by the end of 2027||||
340|IDP_MAIN||"Development of
Integrated
Natural Resource
Management
Plan"|||"Forestry Depart
ment"|"No. of plans
prepared"
340|IDP_MAIN||"Conducting 30
Beekeeping
trainings to 900
farmers"|||"Forestry
Department"|"No. trainings
conducted,
No. trained"
340|IDP_MAIN||"Conducting 5
Mushroom
propagation
trainings to 150
farmers"|||"Forestry
Department"|"No. trainings
conducted,
No. trained"
340|IDP_MAIN||"Establishment of
500 woodlots by
2026"|||"Forestry
Department"|"No. woodlots
created"
340|IDP_MAIN||"Establishment of
100 agroforestry
plots"|||"Forestry
Department"|"No.of plots
created"
