project_id|council|project_name|sector|constituency|ward|approved_amount_zmw|status|funding_source|source_doc|scraped_at|has_amount_zmw|is_approved|sector_category|amount_band|has_ward
KAB-0001|Kabwe Municipal Council|Construction of 1x3 CRB David Ramusho Secondary School|Education|Kabwe Central|David Ramusho|1703868.67|Approved|CDF|CDF_PROJECTS_2025|2026-09-12T19:54:27|True|True|Social|Large (1M-5M)|True
KAB-0002|Kabwe Municipal Council|Construction of 1x3 CRB at Kasanda Malombe Secondary School|Education|Kabwe Central|Chirwa|1703868.67|Approved|CDF|CDF_PROJECTS_2025|2026-09-12T19:54:27|True|True|Social|Large (1M-5M)|True
KAB-0003|Kabwe Municipal Council|Procurement of 500 ordinary and 40 special Desks|Education|Kabwe Central|Various Wards|1100000.0|Approved|CDF|CDF_PROJECTS_2025|2026-09-12T19:54:27|True|True|Social|Large (1M-5M)|False
KAB-0004|Kabwe Municipal Council|Construction of an Ablution block at C gate Community School|Education|Kabwe Central|Kaputula|750000.0|Approved|CDF|CDF_PROJECTS_2025|2026-09-12T19:54:27|True|True|Social|Medium (100K-1M)|True
KAB-0005|Kabwe Municipal Council|Construction of an Ablution Block at Mpima Prison Primary School|Education|Kabwe Central|Mpima|750000.0|Approved|CDF|CDF_PROJECTS_2025|2026-09-12T19:54:27|True|True|Social|Medium (100K-1M)|True
KAB-0006|Kabwe Municipal Council|Construction of an Ablution Block at Katondo BOCCS Primary School|Education|Kabwe Central|Katondo|750000.0|Approved|CDF|CDF_PROJECTS_2025|2026-09-12T19:54:27|True|True|Social|Medium (100K-1M)|True
KAB-0007|Kabwe Municipal Council|Constuction of an Ablution Block at Kamushanga Market|Education|Kabwe Central|Kalonga|940678.8|Approved|CDF|CDF_PROJECTS_2025|2026-09-12T19:54:27|True|True|Social|Medium (100K-1M)|True
KAB-0008|Kabwe Municipal Council|01 installation of solar powerd water reticulated system with lockable water Kiosks in Waya Community|Water and Sanitation|Kabwe Central|Waya|940678.8|Approved|CDF|CDF_PROJECTS_2025|2026-09-12T19:54:27|True|True|Infrastructure|Medium (100K-1M)|True
KAB-0009|Kabwe Municipal Council|Construction of a Maternity Wing at Mpima Dairy Clinic|Health|Kabwe Central|Mpima|2666954.72|Approved|CDF|CDF_PROJECTS_2025|2026-09-12T19:54:27|True|True|Social|Large (1M-5M)|True
KAB-0010|Kabwe Municipal Council|installation of a solar powered water reticulated system at Njanji market|Water and Sanitation|Kabwe Central|Njanji|251787.28|Approved|CDF|CDF_PROJECTS_2025|2026-09-12T19:54:27|True|True|Infrastructure|Medium (100K-1M)|True
KAB-0011|Kabwe Municipal Council|Procurement of Medical Equipment for Magandanyama and Katondo clinic|Health|Kabwe Central|David Ramushu And Luansase|1100000.0|Approved|CDF|CDF_PROJECTS_2025|2026-09-12T19:54:27|True|True|Social|Large (1M-5M)|True
KAB-0012|Kabwe Municipal Council|Additional fund roads|Roads and Drainages|Kabwe Central|Various Wards|464821.35|Approved|CDF|CDF_PROJECTS_2025|2026-09-12T19:54:27|True|True|Infrastructure|Medium (100K-1M)|False
KAB-0013|Kabwe Municipal Council|installation of a solar powered water reticulated system at Kamushanga market|Water and Sanitation|Kabwe Central|Kalonga|251787.28|Approved|CDF|CDF_PROJECTS_2025|2026-09-12T19:54:27|True|True|Infrastructure|Medium (100K-1M)|True
KAB-0014|Kabwe Municipal Council|installation of a solar powered water reticulated system at C-gate Community school|Education|Kabwe Central|Kaputula|251787.28|Approved|CDF|CDF_PROJECTS_2025|2026-09-12T19:54:27|True|True|Social|Medium (100K-1M)|True
KAB-0015|Kabwe Municipal Council|procurement of tipper ruck|Roads and Drainages|Kabwe Central|Unknown|1700000.0|Approved|CDF|CDF_PROJECTS_2025|2026-09-12T19:54:27|True|True|Infrastructure|Large (1M-5M)|False
KAB-0016|Kabwe Municipal Council|Completion of Kabwe General Hospital Relative waiting shelter|Health|Kabwe Central|Luangwa|280109.85|Approved|CDF|CDF_PROJECTS_2025|2026-09-12T19:54:27|True|True|Social|Medium (100K-1M)|True
KAB-0017|Kabwe Municipal Council|Proposed Extension and rehabilitation of waya market shelter|Commerce|Kabwe Central|Waya|789451.46|Approved|CDF|CDF_PROJECTS_2025|2026-09-12T19:54:27|True|True|Economic|Medium (100K-1M)|True
KAB-0018|Kabwe Municipal Council|Proposed completion of Nakoli Market shelter|Commerce|Kabwe Central|Nakoli|539451.46|Approved|CDF|CDF_PROJECTS_2025|2026-09-12T19:54:27|True|True|Economic|Medium (100K-1M)|True
KAB-0019|Kabwe Municipal Council|Additional funds for njanji market structure|Commerce|Kabwe Central|Njanji|400000.0|Approved|CDF|CDF_PROJECTS_2025|2026-09-12T19:54:27|True|True|Economic|Medium (100K-1M)|True
KAB-0020|Kabwe Municipal Council|Additional funds for kasanda market structure|Commerce|Kabwe Central|Justin Kabwe|310000.0|Approved|CDF|CDF_PROJECTS_2025|2026-09-12T19:54:27|True|True|Economic|Medium (100K-1M)|True
KAB-0021|Kabwe Municipal Council|Completion of Double storey CRB at Family Future Community School|Education|Kabwe Central|Lukanga|488186.05|Approved|CDF|CDF_PROJECTS_2025|2026-09-12T19:54:27|True|True|Social|Medium (100K-1M)|True
KAB-0022|Kabwe Municipal Council|Completion of Chindwin wall fence|Education|Kabwe Central|Kaputula|600000.0|Approved|CDF|CDF_PROJECTS_2025|2026-09-12T19:54:27|True|True|Social|Medium (100K-1M)|True
KAB-0023|Kabwe Municipal Council|Completed Chowa Clinic Njanji Kabwe Central 6|Health|Kabwe Central||8966.0|Completed|CDF|NEWSLETTER_2024|2026-09-12T19:54:27|True|False|Social|Small (<100K)|False
KAB-0024|Kabwe Municipal Council|Mahatma Ghandi Clinic 4|Health|Kabwe Central||80155.0|Completed|CDF|NEWSLETTER_2024|2026-09-12T19:54:27|True|False|Social|Small (<100K)|False
KAB-0025|Kabwe Municipal Council|Block Katuntulu Primary School 4|Education|Kabwe Central||298068.0|Completed|CDF|NEWSLETTER_2024|2026-09-12T19:54:27|True|False|Social|Medium (100K-1M)|False
KAB-0026|Kabwe Municipal Council|Boccs Primary School 5|Education|Kabwe Central||266874.0|Completed|CDF|NEWSLETTER_2024|2026-09-12T19:54:27|True|False|Social|Medium (100K-1M)|False
KAB-0027|Kabwe Municipal Council|X3 Classroom Block at|Education|Kabwe Central||840609.0|Completed|CDF|NEWSLETTER_2024|2026-09-12T19:54:27|True|False|Social|Medium (100K-1M)|False
KAB-0028|Kabwe Municipal Council|Kakama Primary School 10|Education|Kabwe Central||20000.0|Completed|CDF|NEWSLETTER_2024|2026-09-12T19:54:27|True|False|Social|Small (<100K)|False
KAB-0029|Kabwe Municipal Council|Ablution Block At Highridge 12|Unknown|Kabwe Central||115060.0|Completed|CDF|NEWSLETTER_2024|2026-09-12T19:54:27|True|False|Other|Medium (100K-1M)|False
KAB-0030|Kabwe Municipal Council|Secondary Ablution Block 18|Unknown|Kabwe Central||10436.0|Completed|CDF|NEWSLETTER_2024|2026-09-12T19:54:27|True|False|Other|Small (<100K)|False
KAB-0031|Kabwe Municipal Council|Market Ablution Block 1|Commerce|Kabwe Central||743716.74|Completed|CDF|NEWSLETTER_2024|2026-09-12T19:54:27|True|False|Economic|Medium (100K-1M)|False
KAB-0032|Kabwe Municipal Council|Water Reticulation Bwacha 64|Water and Sanitation|Kabwe Central||9126.82|Completed|CDF|NEWSLETTER_2024|2026-09-12T19:54:27|True|False|Infrastructure|Small (<100K)|False
KAB-0033|Kabwe Municipal Council|Modern Market Bwacha 4|Commerce|Kabwe Central||6126.0|Completed|CDF|NEWSLETTER_2024|2026-09-12T19:54:27|True|False|Economic|Small (<100K)|False
KAB-0034|Kabwe Municipal Council|Rehabilitation Of Njanji Kabwe 5|Unknown|Kabwe Central||459000.0|Completed|CDF|NEWSLETTER_2024|2026-09-12T19:54:27|True|False|Other|Medium (100K-1M)|False
