NO.|PROJECT NAME|PROJECT DESCRIPTION|SECTOR|WARD|PROJECT SITE|ENGINEERS ESTIMATE|APPROVED AMOUN|_page|col_2|col_5|ESTIMATE|ESTIMATE__1|source_doc
1|"Construction of 1x3 CRB David Ramusho
Secondary School"|"Construction of 1x3 CRB David Ramusho
Secondary School"|Education|David Ramusho.|"David Ramusho
Secondary School"|K 1,703,868.67|K 1,703,868.67|1|||||CDF_PROJECTS_2025
2|"Construction of 1x3 CRB at Kasanda
Malombe Secondary School"|"Construction of 1x3 CRB at Kasanda
Malombe Secondary School"|Education|Chirwa|"Kasanda Malombe
Secondary School"|K 1,703,868.67|K 1,703,868.67|1|||||CDF_PROJECTS_2025
3|"Procurement of 500 ordinary and 40
special Desks"|"Procurement of 500 ordinary and 40
special Desks"|Education|various wards|Various schools|K 1,100,000.00|K 1,100,000.00|1|||||CDF_PROJECTS_2025
4|"Construction of an Ablution block at C
gate Community School"|"Construction of an Ablution block at C
gate Community School"|Education|kaputula|"C-Gate community
school"|K 750,000.00|K 750,000.00|1|||||CDF_PROJECTS_2025
5|"Construction of an Ablution Block at
Mpima Prison Primary School"|"Construction of an Ablution Block at
Mpima Prison Primary School"|Education|mpima|"Mpima Prison Primary
School"|K 750,000.00|K 750,000.00|1|||||CDF_PROJECTS_2025
6|"Construction of an Ablution Block at
Katondo BOCCS Primary School"|"Construction of an Ablution Block at
Katondo BOCCS Primary School"|Education|Katondo|"Katondo BOCCs
Primary School"|K 750,000.00|K 750,000.00|1|||||CDF_PROJECTS_2025
7|"Constuction of an Ablution Block at
Kamushanga Market"|"Constuction of an Ablution Block at
Kamushanga Market"|Education|kalonga|Kamushanga Market|K 940,678.80|K 940,678.80|1|||||CDF_PROJECTS_2025
8|"01 installation of solar powerd water
reticulated system with lockable water
Kiosks in Waya Community"|"01 installation of solar powerd water
reticulated system with lockable water
Kiosks in Waya Community"|"Water and
Sanitation"|waya|Waya Community|K 940,678.80|K 940,678.80|1|||||CDF_PROJECTS_2025
9|"Construction of a Maternity Wing at
Mpima Dairy Clinic"|"Construction of a Maternity Wing at
Mpima Dairy Clinic"|Health|mpima|Dairy Clinic|K 2,666,954.72|K 2,666,954.72|1|||||CDF_PROJECTS_2025
10|"installation of a solar powered water
reticulated system at Njanji market"|"installation of a solar powered water
reticulated system at Njanji market"|"Water and
Sanitation"|njanji|Njanji market|K 251,787.28|K 251,787.28|1|||||CDF_PROJECTS_2025
11|"Procurement of Medical Equipment for
Magandanyama and Katondo clinic"|"Procurement of Medical Equipment for
Magandanyama and Katondo clinic"|Health|"david ramushu and
luansase"|"Magandanyama and
Katondo clinic"|K 1,100,000.00|K 1,100,000.00|1|||||CDF_PROJECTS_2025
12|Additional fund roads|Additional fund roads|"Roads and
Drainages"|various wards|"various roads in
Kabwe Central"|K 464,821.35|K 464,821.35|1|||||CDF_PROJECTS_2025
13|"installation of a solar powered water
reticulated system at Kamushanga market"|"installation of a solar powered water
reticulated system at Kamushanga market"|"Water and
Sanitation"|kalonga|Kamushanga market|K 251,787.28|K 251,787.28|1|||||CDF_PROJECTS_2025
14|"installation of a solar powered water
reticulated system at C-gate Community
school"|"installation of a solar powered water
reticulated system at C-gate Community
school"|Education|kaputula|"C-gate Community
school"|K 251,787.28|K 251,787.28|1|||||CDF_PROJECTS_2025
15|procurement of tipper ruck|procurement of tipper ruck|"Roads and
Drainages"||"various roads in
Kabwe Central"|K 1,700,000.00|K 1,700,000.00|1|||||CDF_PROJECTS_2025
|Sub Total|||||K 15,326,232.85|K 15,326,232.85|1|||||CDF_PROJECTS_2025
1|"Completion of Kabwe General Hospital
Relative waiting shelter"||Health|Luangwa||||1||Kabwe General Hospita|l K 280,109.85|K 280,109.85|CDF_PROJECTS_2025
2|"Proposed Extension and rehabilitation of
waya market shelter"||Commerce|Waya||||1||Waya Market|K 789,451.46|K 789,451.46|CDF_PROJECTS_2025
3|"Proposed completion of Nakoli Market
shelter"||Commerce|Nakoli||||1||Nakoli Market|K 539,451.46|K 539,451.46|CDF_PROJECTS_2025
4|"Additional funds for njanji market
structure"||Commerce|Njanji||||1||Njanji Market|K 400,000.00|K 400,000.00|CDF_PROJECTS_2025
5|"Additional funds for kasanda market
structure"||Commerce|Justin Kabwe||||1||Kasanda Market|K 310,000.00|K 310,000.00|CDF_PROJECTS_2025
6|"Completion of Double storey CRB at
Family Future Community School"||Education|Lukanga||||1||"Family Future
Community school"|K 488,186.05|K 488,186.05|CDF_PROJECTS_2025
|Completion of Chindwin wall fence||Education|Kaputula||||1||Chindiwn Secondary Sc|hool K 600,000.00|K 600,000.00|CDF_PROJECTS_2025
