page|value|unit|context|source_doc
27|1|population|bjected to a review to include the current population projections with regard to the population dynamics in question. 2.1 Population and Population Growth 2.1.1 District Population Growth Trends The figure below presents changes in the district’s popul|IDP_MAIN
30|5|population|h if it’s enough to cope with this anticipated population growth, if not increase service coverage by what margins? 2.1.5 Population Projection by Constituency According to 2022 Census of Population and Housing Preliminary Report of December 2022, Kabw|IDP_MAIN
31|179275|people|179,275 people in 2022 whereas Bwacha Constituency had 199,391. However, in 2035 Kabwe Central Constituency is expected to have 281,30|IDP_MAIN
31|175020|people|199,391. However, in 2035 Kabwe Central Constituency is expected to have 281,305 inhabitants while Bwacha Constituency 175,020 people. Figure 12: Population Projection by Constiteuncy 2022-2035 Source; ZSA, 2022 2.1.6 Population Projection by Gender Fig|IDP_MAIN
31|6|population|le Bwacha Constituency 175,020 people. Figure 12: Population Projection by Constiteuncy 2022-2035 Source; ZSA, 2022 2.1.6 Population Projection by Gender Figure 11 shows that, Female population (155,314) in 2022 was slightly higher than male population|IDP_MAIN
35|11|population|16: Life Expectancy: Rural-Urban, 2011-2035 (2013 CSO Report: Population and Demographic Projections, 2011 – 2035) 2.1.11 Population Analysis for Key Ages This section analyses the population composition for special groups in order to understand the po|IDP_MAIN
35|12|population|, priority sectors of investment beneficial to the age group including forecasting for future trends in population. 2.1.12 Population in Age Group (0-4) Years Figure 09 shows that population for under 5 will increase from 18,901 in 2015 to 31, 482 in 20|IDP_MAIN
36|13|population|Figure 15: Population Age Group (0-4) Years (2013 CSO Report: Population and Demographic Projections, 2011 – 2035) 2.1.13 Population in Age Group (5-14) Years Assuming population continues to grow at the earlier mentioned projected growth rate of 1.3 %|IDP_MAIN
36|52819|people|rate of 1.3 % per annum, this will entail that, in 2035 the population in the Age Group (5 – 14) years will be roughly 52,819 people. This population is also referred to as population for the Primary School going age. This entails investment in educati|IDP_MAIN
37|14|population|2.1.14 Population in Age Group (14-19) Years Assuming population continues to grow at the earlier mentioned projected growth rate of 1.3|IDP_MAIN
37|23384|people|ier mentioned projected growth rate of 1.3 % per annum, the population in the Age Group (14 – 19) years will be roughly 23,384 people. This population is also referred to as population for Secondary School going age. This change entails investment in ed|IDP_MAIN
37|15|population|igure 19: Population Age Group (14-19) years (2013 CSO Report: Population and Demographic Projections, 2011 – 2035) 2.1.15 Population in Economically Active Age Group (15 – 64) Years Figure 12 depicts that, Population aged (15-64) years is expected to g|IDP_MAIN
38|16|population|igure 20: Population Age Group (15-64) Years (2013 CSO Report: Population and Demographic Projections, 2011 – 2035) 2.1.16 Population in Female Reproductive Age Group (15-49) Years The female population aged 15-49 Years constitutes the reproductive age.|IDP_MAIN
