page|pillar|sub_programme|source_doc
39|Economic Transformation|Impact of Population Trends on Land Use and Spatial Development|IDP_MAIN
40|Economic Transformation|Description of the Existing state of Land Use and Development|IDP_MAIN
45|Economic Transformation|Assessment of the Availability of Land for Planned Urban Expansion|IDP_MAIN
47|Economic Transformation|Improve capacity for agriculture extension officers|IDP_MAIN
47|Economic Transformation|Promote Diversification within the Agriculture Sector|IDP_MAIN
48|Economic Transformation|Improve production and productivity|IDP_MAIN
48|Economic Transformation|Enhance Agriculture Value Chains|IDP_MAIN
48|Economic Transformation|Description of the Existing State of Development|IDP_MAIN
56|Economic Transformation|Poor Agricultural Extension Service delivery All wards|IDP_MAIN
57|Economic Transformation|Zambia Aquaculture Enterprise Development Project (ZAEDEP): The project i|IDP_MAIN
67|Economic Transformation|Luka Powanga (2021) Economic Development, at What Cost: The Case of Kabwe, Zambia. J Bioremediat Biodegrad|IDP_MAIN
69|Economic Transformation|Poor water supply and sanitation in markets • Pollen, Njanji, Kachulu, Kamushanga (1), Mukobeko|IDP_MAIN
78|Economic Transformation|Existing and Proposed Investment and Development Programmes|IDP_MAIN
78|Economic Transformation|Inadequate developed tourism- • Bwacha (Venus theatres), Kangomba (Mutwewasnsofu, Broken|IDP_MAIN
82|Economic Transformation|Existing and Proposed Investment and Development Programs|IDP_MAIN
91|Environmental Sustainability|Zambia Mining Environmental Remediation and Improvement Project|IDP_MAIN
94|Environmental Sustainability|Intensifying sensitizations in the district in order to reduce exposure to lead|IDP_MAIN
113|Environmental Sustainability|Construction of staff houses at Charity primary school|IDP_MAIN
123|Environmental Sustainability|Establishment Analysis as at June,|IDP_MAIN
124|Environmental Sustainability|Water Supply and Sanitation and Health facilities|IDP_MAIN
130|Environmental Sustainability|Community Development and Social Welfare|IDP_MAIN
136|Environmental Sustainability|Existing and Proposed Investment and Development Program|IDP_MAIN
142|Good Governance|Municipal Parks and Recreation|IDP_MAIN
150|Good Governance|Forestry Extension and Service Delivery|IDP_MAIN
163|Good Governance|Need to Upgrade Police post • Lukanga|IDP_MAIN
165|Economic Transformation|Policies to Direct Development|IDP_MAIN
169|Economic Transformation|Economic Transformation and Job Creation|IDP_MAIN
182|Economic Transformation|Human and Social Development|IDP_MAIN
213|Good Governance|Improved Transportation System Model|IDP_MAIN
222|Good Governance|Environment Protection and Green Network Development Models|IDP_MAIN
298|Good Governance|Data Develop databases Local M&E Lead|IDP_MAIN
298|Good Governance|Data Develop data collection and analysis Local Data Managers|IDP_MAIN
298|Good Governance|GIS expert Link the Development Framework Local Data manager|IDP_MAIN
