project_name|approved_amount_zmw|year_funded|sector|status|source_doc|page
Completed Chowa Clinic Njanji Kabwe Central 6|8966.0|2022|Health|Completed|NEWSLETTER_2024|2
Mahatma Ghandi Clinic 4|80155.0|2022|Health|Completed|NEWSLETTER_2024|2
Block Katuntulu Primary School 4|298068.0|2022|Education|Completed|NEWSLETTER_2024|4
Boccs Primary School 5|266874.0|2022|Education|Completed|NEWSLETTER_2024|4
X3 Classroom Block at|840609.0|2022|Education|Completed|NEWSLETTER_2024|4
Kakama Primary School 10|20000.0|2022|Education|Completed|NEWSLETTER_2024|4
Ablution Block At Highridge 12|115060.0|2023|Unknown|Completed|NEWSLETTER_2024|4
Secondary Ablution Block 18|10436.0|2023|Unknown|Completed|NEWSLETTER_2024|5
Market Ablution Block 1|743716.74|2022|Commerce|Completed|NEWSLETTER_2024|9
Water Reticulation Bwacha 64|9126.82|2022|Water and Sanitation|Completed|NEWSLETTER_2024|9
Modern Market Bwacha 4|6126.0|2022|Commerce|Completed|NEWSLETTER_2024|9
Rehabilitation Of Njanji Kabwe 5|459000.0|2022|Unknown|Completed|NEWSLETTER_2024|9
