year|output|output_indicator|target_2023|actual_2023|target_2024|actual_2024|target_2025|source_url|source_document
2025|Community Projects Completed|Number of desks to be procured|0|8992|1200|0|2500|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget
2025|Community Projects Completed|Number of Maternity wings constructed|2|2|5|2|1|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget
2025|Community Projects Completed|Number of Ambulances to be procured|||2|||https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget
2025|District Roads Graded|Kilometer of roads graded|0|0|0|0|100|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget
2025|Community, women and youth empowered|Number of youth groups empowered|10|6|15|10|20|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget
2025|Community, women and youth empowered|Number of women groups empowered|50|61|60|50|65|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget
2025|Empowerment loans disbursed|Number of business entities accessing loans|45|51|50|45|70|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget
2025|CDF activities administered|Number of CDFC meetings held|4|12|6|4|6|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget
2025|CDF activities administered|Number of project monitoring visits carried out|4|4|15|4|8|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget
2025|CDF activities administered|Number of CDF projects branded|0|0|0|0|39|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget
2025|Skills development beneficiaries sponsored|Number of beneficiaries trained under skill development|500|1039|600|500|800|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget
2025|Secondary School boarding beneficiaries sponsored|Number of beneficiaries trained under secondary boarding|40|33|60|40|50|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget
