financial_year|revenue_category|revenue_code|revenue_description|approved_budget_2025|revised_budget_2026|estimate_2027|page
2025|Local taxes/rates|1|Residential|4453818.0|4453818.0|4453818.0|2
2025|Local taxes/rates|2|Commercial|5536418.0|5536418.0|5536418.0|2
2025|Local taxes/rates|3|Industrial|2635280.0|2635280.0|2635280.0|2
2025|Local taxes/rates|4|Hospitality|572837.0|630121.0|693133.0|2
2025|Local taxes/rates|1|Personal levy|450000.0|495000.0|220000.0|2
2025|Fees and Charges|1|Consent fees|25000.0|27500.0|30250.0|3
2025|Fees and Charges|2|Survey fees|700000.0|770000.0|862400.0|3
2025|Fees and Charges|3|Building inspection-fe es|250000.0|300000.0|300000.0|3
2025|Fees and Charges|4|Plan scrutiny fee|2508000.0|2508000.0|2508000.0|3
2025|Fees and Charges|5|Change of premise us e|295000.0|324500.0|347864.0|3
2025|Fees and Charges|6|Container/Ntemba fee s|50000.0|75000.0|75000.0|3
2025|Fees and Charges|7|Rentals/lease of Coun cil’s properties|896400.0|986040.0|1084644.0|3
2025|Fees and Charges|8|Non-Land Application forms fees|600000.0|660000.0|726000.0|3
2025|Fees and Charges|9|Rentals from houses|85092.0|93601.0|102961.0|3
2025|Fees and Charges|11|Search fees|7500.0|8250.0|9075.0|3
2025|Fees and Charges|12|Notice board advert fe es|2500.0|2750.0|3025.0|3
2025|Fees and Charges|13|Market fees|785664.0|864230.0|950653.0|3
2025|Fees and Charges|14|Parking fees|50000.0|50000.0|50000.0|3
2025|Fees and Charges|16|Loading fees (buses, trucks, trains, taxies etc.)|393360.0|432696.0|475966.0|3
2025|Fees and Charges|17|Affidavit fees|6000.0|6600.0|7260.0|3
2025|Fees and Charges|20|Hire of halls|114684.0|126152.0|139824.0|3
2025|Fees and Charges|21|Hire of grounds/stadia|13000.0|60000.0|75000.0|3
2025|Fees and Charges|24|Recommendations fe es|672000.0|732600.0|807800.0|3
2025|Fees and Charges|27|Body remains (inspec tions)fees|600.0|660.0|739.0|3
