programme|year|cost_zmw|page|source_doc
Mpima|2023|4889.0|54|IDP_MAIN
Munga|2023|23382.0|54|IDP_MAIN
Munyama|2023|9957.0|54|IDP_MAIN
Waya|2023|23791.0|54|IDP_MAIN
Totals|2023|62019.0|54|IDP_MAIN
Local Taxes|2023|24531318.0|293|IDP_MAIN
Local Taxes|2024|21102470.0|293|IDP_MAIN
Local Taxes|2025|21102470.0|293|IDP_MAIN
Fees and Charges|2023|9317585.0|293|IDP_MAIN
Fees and Charges|2024|11479878.0|293|IDP_MAIN
Fees and Charges|2025|12559115.0|293|IDP_MAIN
Licenses|2023|1375000.0|293|IDP_MAIN
Licenses|2024|1518400.0|293|IDP_MAIN
Licenses|2025|1672400.0|293|IDP_MAIN
Levies|2023|1535500.0|293|IDP_MAIN
Levies|2024|1674850.0|293|IDP_MAIN
Levies|2025|1828135.0|293|IDP_MAIN
Permits|2023|4694500.0|293|IDP_MAIN
Permits|2024|5086950.0|293|IDP_MAIN
Permits|2025|5595645.0|293|IDP_MAIN
Charges|2023|12771196.0|293|IDP_MAIN
Charges|2024|6000000.0|293|IDP_MAIN
Charges|2025|6600000.0|293|IDP_MAIN
Other Income|2023|28000.0|293|IDP_MAIN
Other Income|2024|30800.0|293|IDP_MAIN
Other Income|2025|33880.0|293|IDP_MAIN
Total Local Revenue|2023|54253099.0|293|IDP_MAIN
Total Local Revenue|2024|46893348.0|293|IDP_MAIN
Total Local Revenue|2025|49391645.0|293|IDP_MAIN
Equalization fund|2023|18771381.0|293|IDP_MAIN
Equalization fund|2024|18771381.0|293|IDP_MAIN
Equalization fund|2025|18771381.0|293|IDP_MAIN
Constitutional Development Fund|2023|56627804.0|293|IDP_MAIN
Constitutional Development Fund|2024|56627804.0|293|IDP_MAIN
Constitutional Development Fund|2025|56627804.0|293|IDP_MAIN
