year|constituency|transaction_type|financial_category|amount_kwacha|source_note|source_url|source_document
2025|Kabwe Central|Receipt|CDF Funding|6205128|8(a)|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/08/2025-BI-ANNUAL-FINANCIAL-STATEMENT-KABWE-M-COUNCIL-1-1.pdf|Kabwe Municipal Council BI-Annual Financial Statements 2025
2025|Bwacha|Receipt|CDF Funding|6205128|8(a)|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/08/2025-BI-ANNUAL-FINANCIAL-STATEMENT-KABWE-M-COUNCIL-1-1.pdf|Kabwe Municipal Council BI-Annual Financial Statements 2025
2025|Kabwe Central|Receipt|Loan Repayments|179669|8(b)|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/08/2025-BI-ANNUAL-FINANCIAL-STATEMENT-KABWE-M-COUNCIL-1-1.pdf|Kabwe Municipal Council BI-Annual Financial Statements 2025
2025|Bwacha|Receipt|Loan Repayments|477394|8(b)|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/08/2025-BI-ANNUAL-FINANCIAL-STATEMENT-KABWE-M-COUNCIL-1-1.pdf|Kabwe Municipal Council BI-Annual Financial Statements 2025
2025|Kabwe Central|Receipt|Interest Earned|21067|8(c)|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/08/2025-BI-ANNUAL-FINANCIAL-STATEMENT-KABWE-M-COUNCIL-1-1.pdf|Kabwe Municipal Council BI-Annual Financial Statements 2025
2025|Bwacha|Receipt|Interest Earned|6331|8(c)|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/08/2025-BI-ANNUAL-FINANCIAL-STATEMENT-KABWE-M-COUNCIL-1-1.pdf|Kabwe Municipal Council BI-Annual Financial Statements 2025
2025|Kabwe Central|Payment|Infrastructure Development|3703681|8(d)|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/08/2025-BI-ANNUAL-FINANCIAL-STATEMENT-KABWE-M-COUNCIL-1-1.pdf|Kabwe Municipal Council BI-Annual Financial Statements 2025
2025|Bwacha|Payment|Infrastructure Development|2649421|8(d)|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/08/2025-BI-ANNUAL-FINANCIAL-STATEMENT-KABWE-M-COUNCIL-1-1.pdf|Kabwe Municipal Council BI-Annual Financial Statements 2025
2025|Kabwe Central|Payment|Rehabilitation Works|557547|8(e)|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/08/2025-BI-ANNUAL-FINANCIAL-STATEMENT-KABWE-M-COUNCIL-1-1.pdf|Kabwe Municipal Council BI-Annual Financial Statements 2025
2025|Bwacha|Payment|Rehabilitation Works|0|8(e)|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/08/2025-BI-ANNUAL-FINANCIAL-STATEMENT-KABWE-M-COUNCIL-1-1.pdf|Kabwe Municipal Council BI-Annual Financial Statements 2025
2025|Kabwe Central|Payment|Asset Acquisition|5244633|8(f)|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/08/2025-BI-ANNUAL-FINANCIAL-STATEMENT-KABWE-M-COUNCIL-1-1.pdf|Kabwe Municipal Council BI-Annual Financial Statements 2025
2025|Bwacha|Payment|Asset Acquisition|5208500|8(f)|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/08/2025-BI-ANNUAL-FINANCIAL-STATEMENT-KABWE-M-COUNCIL-1-1.pdf|Kabwe Municipal Council BI-Annual Financial Statements 2025
2025|All Constituencies|Payment|Rural Electrification|0|8(g)|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/08/2025-BI-ANNUAL-FINANCIAL-STATEMENT-KABWE-M-COUNCIL-1-1.pdf|Kabwe Municipal Council BI-Annual Financial Statements 2025
