no|year|constituency|project|ward|sector|comment|source_url|source_document
1|2025|Kabwe Central|Proposed Construction of a standard Maternity Annex at Mpima health center|Mpima|Health|Approved|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/08/Proposed-2025-CDF-projects.pdf|Proposed 2025 CDF Projects
2|2025|Kabwe Central|Proposed Construction of a 1x4 Classroom block (CRB) at Lukanga Secondary School|High ridge|Education|Approved|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/08/Proposed-2025-CDF-projects.pdf|Proposed 2025 CDF Projects
3|2025|Kabwe Central|Proposed Construction of a 1x3 Classroom block (CRB) at Kasanda Malombe Secondary School|Chirwa|Education|Approved|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/08/Proposed-2025-CDF-projects.pdf|Proposed 2025 CDF Projects
4|2025|Kabwe Central|Proposed Construction and installation of 02 Solar powered Water reticulated Systems with lockable kiosks in Waya communities|Waya|Water and Sanitation|Approved|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/08/Proposed-2025-CDF-projects.pdf|Proposed 2025 CDF Projects
5|2025|Kabwe Central|Proposed Construction and installation of 02 Solar powered Water reticulated Systems at Kamushanga Market Shelter|Kalonga|Water and Sanitation|Approved|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/08/Proposed-2025-CDF-projects.pdf|Proposed 2025 CDF Projects
6|2025|Kabwe Central|Proposed Construction and installation of 02 Solar powered Water reticulated Systems at C-gate Primary School|Kaputula|Education|Approved|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/08/Proposed-2025-CDF-projects.pdf|Proposed 2025 CDF Projects
7|2025|Kabwe Central|Proposed Construction and installation of 02 Solar powered Water reticulated Systems at Njanji Market facilities|Njanji|Education|Approved|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/08/Proposed-2025-CDF-projects.pdf|Proposed 2025 CDF Projects
8|2025|Kabwe Central|Proposed Construction and installation of 02 Solar powered Water reticulated Systems at Kamakuti Maternity annex|Waya|Health|Approved|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/08/Proposed-2025-CDF-projects.pdf|Proposed 2025 CDF Projects
9|2025|Kabwe Central|Proposed Construction of an Ablution block at C-gate Primary School|Kaputula|Education|Approved|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/08/Proposed-2025-CDF-projects.pdf|Proposed 2025 CDF Projects
10|2025|Kabwe Central|Proposed Construction of an Ablution block at BOCCs Primary School|Katondo|Education|Approved|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/08/Proposed-2025-CDF-projects.pdf|Proposed 2025 CDF Projects
