revenue_category|revenue_code|revenue_description|approved_budget_2025|revised_budget_2026|budget_estimate_2027|source_url|source_document
Local taxes/rates|001|Residential|4453818|4453818|4453818|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Local taxes/rates|002|Commercial|5536418|5536418|5536418|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Local taxes/rates|003|Industrial|2635280|2635280|2635280|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Local taxes/rates|004|Hospitality|572837|630121|693133|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Personal levy|001|Personal levy|450000|495000|220000|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Fees and Charges|001|Consent fees|25000|27500|30250|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Fees and Charges|002|Survey fees|700000|770000|862400|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Fees and Charges|003|Building inspection-fees|250000|300000|300000|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Fees and Charges|004|Plan scrutiny fee|2508000|2508000|2508000|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Fees and Charges|005|Change of premise use|295000|324500|347864|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Fees and Charges|006|Container/Ntemba fees|50000|75000|75000|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Fees and Charges|007|Rentals/lease of Council’s properties|896400|986040|1084644|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Fees and Charges|008|Non-Land Application forms fees|600000|660000|726000|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Fees and Charges|009|Rentals from houses|85092|93601|102961|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Fees and Charges|011|Search fees|7500|8250|9075|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Fees and Charges|012|Notice board advert fees|2500|2750|3025|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Fees and Charges|013|Market fees|785664|864230|950653|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Fees and Charges|014|Parking fees|50000|50000|50000|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Fees and Charges|016|Loading fees (buses, trucks, trains, taxies etc.)|393360|432696|475966|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Fees and Charges|017|Affidavit fees|6000|6600|7260|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Fees and Charges|020|Hire of halls|114684|126152|139824|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Fees and Charges|021|Hire of grounds/stadia|13000|60000|75000|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Fees and Charges|024|Recommendations fees|672000|732600|807800|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Fees and Charges|027|Body remains (inspections) fees|600|660|739|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Fees and Charges|033|Refuse disposal|1257030|1348793|1443209|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Fees and Charges|035|Commercial & non-commercial Exhibitions|10800|600|800|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Fees and Charges|038|Library membership fees|8000|8800|9680|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Fees and Charges|041|Dumb site fees|39600|43560|48787|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Fees and Charges|045|Notice of marriage fees|61250|67375|74113|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Fees and Charges|046|Abattoir/meat inspection fees|11500|12650|14168|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
Fees and Charges|047|Registration of clubs and societies|100000|110000|121000|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 2-4
