programme_code|programme|record_type|sub_programme|approved_budget_2024|budget_estimate_2025|source_url|source_document
1|Constituency Development|Programme||61271284|72116301|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
779|Constituency Development|Sub-Programme|Community Projects|34924632|43925383|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
780|Constituency Development|Sub-Programme|Women and Youth Empowerment|11641544|12456452|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
781|Constituency Development|Sub-Programme|CDF Administration|3063564|3278014|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
782|Constituency Development|Sub-Programme|Secondary School and Skills Development Bursaries|11641544|12456452|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
2|Local Governance|Programme||6125473|5827497|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
003|Local Governance|Sub-Programme|Legislative Functions|3767535|3349182|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
043|Local Governance|Sub-Programme|Citizen Engagement|2357938|2478315|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
3|Integrated Development Planning|Programme||6342899|5387125|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
006|Integrated Development Planning|Sub-Programme|Environmental Planning|893433|3677653|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
021|Integrated Development Planning|Sub-Programme|Spatial Planning|5449465|1709472|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
4|Economic and Business Development|Programme||151477|168721|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
038|Economic and Business Development|Sub-Programme|Trade Facilitation and Licensing|151477|168721|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
5|Public Health and Environmental Protection|Programme||3498334|4611170|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
015|Public Health and Environmental Protection|Sub-Programme|Cemetery and Funeral Services|156074|728585|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
019|Public Health and Environmental Protection|Sub-Programme|Health Inspections|1268384|2799110|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
023|Public Health and Environmental Protection|Sub-Programme|Pest Control|18740|335315|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
024|Public Health and Environmental Protection|Sub-Programme|Pollution Control|27266|26400|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
027|Public Health and Environmental Protection|Sub-Programme|Solid Waste Management|1994296|694450|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
034|Public Health and Environmental Protection|Sub-Programme|Water Supply and Sanitation Services|33575|27310|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
6|Housing and Community Amenities|Programme||13975738|27194430|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
008|Housing and Community Amenities|Sub-Programme|Roads and Drainages|5040099|16076588|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
011|Housing and Community Amenities|Sub-Programme|Parks and Gardens|1707973|687249|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
012|Housing and Community Amenities|Sub-Programme|Markets and Bus Stations|2983191|1698806|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
026|Housing and Community Amenities|Sub-Programme|Public Housing|2904099|4973907|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
031|Housing and Community Amenities|Sub-Programme|Street Lighting|1340376|3757881|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
7|Recreation Culture and Religion|Programme||1067283|844145|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
001|Recreation Culture and Religion|Sub-Programme|Cultural Affairs|7759|61724|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
042|Recreation Culture and Religion|Sub-Programme|Sports Promotion|1059524|782421|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
8|Education and Skills Development|Programme||33780|38731|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
001|Education and Skills Development|Sub-Programme|District Archives|0|19241|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
005|Education and Skills Development|Sub-Programme|Early Childhood Education|33780|19490|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
10|Public Order and Safety|Programme||6822011|10917603|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
018|Public Order and Safety|Sub-Programme|Community Policing|1686555|3487804|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
041|Public Order and Safety|Sub-Programme|Fire Protection Services|5135456|7429799|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
11|Management and Support Services|Programme||32145481|22039403|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
001|Management and Support Services|Sub-Programme|Human Resource and Administration|13358205|6773166|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
009|Management and Support Services|Sub-Programme|Executive Management|1847378|880392|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
016|Management and Support Services|Sub-Programme|Procurement|1263583|713018|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
028|Management and Support Services|Sub-Programme|Financial Management-Auditing|803216|636825|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
035|Management and Support Services|Sub-Programme|Financial Management-Accounting|10685644|10084742|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
036|Management and Support Services|Sub-Programme|Legal Services|2732692|2393867|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
062|Management and Support Services|Sub-Programme|Public Relations|1454763|557393|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
12|Resource Mobilisation and Management|Programme||2346892|4209839|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
067|Resource Mobilisation and Management|Sub-Programme|Revenue Mobilisation and Enhancement|2346892|4209839|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
13|District Health Services|Programme||3100894|3649036|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
001|District Health Services|Sub-Programme|Primary Health Services|3100894|3101039|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
002|District Health Services|Sub-Programme|District Health Co-ordination|0|547997|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
15|Transport Services|Programme||3742847|3200587|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
001|Transport Services|Sub-Programme|Road Transport|3742847|3200587|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
16|Agricultural Services|Programme||0|549076|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
071|Agricultural Services|Sub-Programme|Agricultural Crop Production, Advisory and Technical Services|0|328430|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
072|Agricultural Services|Sub-Programme|Agribusiness Development and Marketing|0|32400|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
073|Agricultural Services|Sub-Programme|Agriculture Co-ordination|0|188246|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
17|Fisheries and Livestock|Programme||104276|486160|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
074|Fisheries and Livestock|Sub-Programme|Fisheries and Livestock Marketing|0|58616|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
075|Fisheries and Livestock|Sub-Programme|Animal Health Services|104276|121955|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
076|Fisheries and Livestock|Sub-Programme|Fisheries Production and Productivity Improvement|0|101125|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
077|Fisheries and Livestock|Sub-Programme|Livestock Production and Productivity Improvement|0|82924|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
078|Fisheries and Livestock|Sub-Programme|District Fisheries and Livestock Coordination|0|121540|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
18|Social Protection and Community Development|Programme||0|19839728|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
079|Social Protection and Community Development|Sub-Programme|District Social Welfare|0|19455843|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
080|Social Protection and Community Development|Sub-Programme|Community Development|0|383885|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf|2025 Kabwe Municipal Council OBB Budget, Pages 8-10
