field|value|category|source_type|source_url
WDC abbreviation|WDC|Ward Development Committee|Official webpage|https://www.kabwecouncil.gov.zm/?page_id=2173
WDC meaning|Ward Development Committee|Ward Development Committee|Official webpage|https://www.kabwecouncil.gov.zm/?page_id=2173
WDC role|Grassroots link between communities and Local Authorities|Ward Development Committee|Official webpage|https://www.kabwecouncil.gov.zm/?page_id=2173
WDC coverage|Formed in each ward|Ward Development Committee|Official webpage|https://www.kabwecouncil.gov.zm/?page_id=2173
WDC membership selection|Residents select representatives through an electoral process|Ward Development Committee|Official webpage|https://www.kabwecouncil.gov.zm/?page_id=2173
WDC nature|Nonpartisan committee|Ward Development Committee|Official webpage|https://www.kabwecouncil.gov.zm/?page_id=2173
WDC purpose|Steering the developmental agenda at the grassroots and closer to the community|Ward Development Committee|Official webpage|https://www.kabwecouncil.gov.zm/?page_id=2173
WDC election oversight|Elective process overseen by the Local Authority|Ward Development Committee|Official webpage|https://www.kabwecouncil.gov.zm/?page_id=2173
Number of Ward Development Committees|29|Ward Development Committee statistics|Official PDF|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf
Number of WDCs oriented|29|Ward Development Committee statistics|Official PDF|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf
Number of quarterly WDC meetings planned|4|Ward Development Committee statistics|Official PDF|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf
WDC Function 1|Prepare annual Ward Development Plans|WDC function|Official PDF|https://www.kabwecouncil.gov.zm/wp-content/uploads/2023/12/GUIDELINES-ON-THE-ESTABLISHMENT-OF-WARD-DEVELOPMENT-COMMITTEES.pdf
WDC Function 2|Collect revenue when appointed by the Local Authority|WDC function|Official PDF|https://www.kabwecouncil.gov.zm/wp-content/uploads/2023/12/GUIDELINES-ON-THE-ESTABLISHMENT-OF-WARD-DEVELOPMENT-COMMITTEES.pdf
WDC Function 3|Monitor and evaluate development projects implemented in the ward|WDC function|Official PDF|https://www.kabwecouncil.gov.zm/wp-content/uploads/2023/12/GUIDELINES-ON-THE-ESTABLISHMENT-OF-WARD-DEVELOPMENT-COMMITTEES.pdf
WDC Function 4|Promote community engagement in development activities|WDC function|Official PDF|https://www.kabwecouncil.gov.zm/wp-content/uploads/2023/12/GUIDELINES-ON-THE-ESTABLISHMENT-OF-WARD-DEVELOPMENT-COMMITTEES.pdf
WDC Function 5|Formulate and submit project lists and CDF budget proposals|WDC function|Official PDF|https://www.kabwecouncil.gov.zm/wp-content/uploads/2023/12/GUIDELINES-ON-THE-ESTABLISHMENT-OF-WARD-DEVELOPMENT-COMMITTEES.pdf
WDC Function 6|Support research and development activities in the ward|WDC function|Official PDF|https://www.kabwecouncil.gov.zm/wp-content/uploads/2023/12/GUIDELINES-ON-THE-ESTABLISHMENT-OF-WARD-DEVELOPMENT-COMMITTEES.pdf
WDC Function 7|Identify investment opportunities within the ward|WDC function|Official PDF|https://www.kabwecouncil.gov.zm/wp-content/uploads/2023/12/GUIDELINES-ON-THE-ESTABLISHMENT-OF-WARD-DEVELOPMENT-COMMITTEES.pdf
WDC Function 8|Support resource co-management within the ward|WDC function|Official PDF|https://www.kabwecouncil.gov.zm/wp-content/uploads/2023/12/GUIDELINES-ON-THE-ESTABLISHMENT-OF-WARD-DEVELOPMENT-COMMITTEES.pdf
WDC Function 9|Promote dialogue and coordination among stakeholders|WDC function|Official PDF|https://www.kabwecouncil.gov.zm/wp-content/uploads/2023/12/GUIDELINES-ON-THE-ESTABLISHMENT-OF-WARD-DEVELOPMENT-COMMITTEES.pdf
WDC Function 10|Participate in capacity building activities|WDC function|Official PDF|https://www.kabwecouncil.gov.zm/wp-content/uploads/2023/12/GUIDELINES-ON-THE-ESTABLISHMENT-OF-WARD-DEVELOPMENT-COMMITTEES.pdf
WDC Function 11|Support urban renewal and development activities|WDC function|Official PDF|https://www.kabwecouncil.gov.zm/wp-content/uploads/2023/12/GUIDELINES-ON-THE-ESTABLISHMENT-OF-WARD-DEVELOPMENT-COMMITTEES.pdf
WDC Function 12|Identify potential sources of revenue for the ward|WDC function|Official PDF|https://www.kabwecouncil.gov.zm/wp-content/uploads/2023/12/GUIDELINES-ON-THE-ESTABLISHMENT-OF-WARD-DEVELOPMENT-COMMITTEES.pdf
WDC Function 13|Manage and keep records of resources allocated to the WDC|WDC function|Official PDF|https://www.kabwecouncil.gov.zm/wp-content/uploads/2023/12/GUIDELINES-ON-THE-ESTABLISHMENT-OF-WARD-DEVELOPMENT-COMMITTEES.pdf
WDC Function 14|Prepare and submit quarterly reports|WDC function|Official PDF|https://www.kabwecouncil.gov.zm/wp-content/uploads/2023/12/GUIDELINES-ON-THE-ESTABLISHMENT-OF-WARD-DEVELOPMENT-COMMITTEES.pdf
WDC Function 15|Maintain a ward database|WDC function|Official PDF|https://www.kabwecouncil.gov.zm/wp-content/uploads/2023/12/GUIDELINES-ON-THE-ESTABLISHMENT-OF-WARD-DEVELOPMENT-COMMITTEES.pdf
WDC Function 16|Execute other functions delegated by the Local Authority|WDC function|Official PDF|https://www.kabwecouncil.gov.zm/wp-content/uploads/2023/12/GUIDELINES-ON-THE-ESTABLISHMENT-OF-WARD-DEVELOPMENT-COMMITTEES.pdf
WDC Chairperson - Makululu|Thomson Halwembe|WDC representative|Official webpage|https://www.kabwecouncil.gov.zm/?p=4873
WDC Chairperson - Njanji|Agness Mboma|WDC representative|Official webpage|https://www.kabwecouncil.gov.zm/?p=4873
Ward Chairperson - Lwasanse|Macmillan Chilangisha|WDC representative|Official webpage|https://www.kabwecouncil.gov.zm/?p=4873
