field|value|category|source_url
Council Name|Kabwe Municipal Council|Council Information|https://www.kabwecouncil.gov.zm/?page_id=275
Province|Central Province|Council Information|https://www.kabwecouncil.gov.zm/?page_id=275
Country|Zambia|Council Information|https://www.kabwecouncil.gov.zm/?page_id=275
Telephone|260 215 224 238|Council Information|https://www.kabwecouncil.gov.zm/?page_id=275
Postal Address|P.O Box 80424|Council Information|https://www.kabwecouncil.gov.zm/?page_id=275
Email|kabwemunicipalcouncil@gmail.com|Council Information|https://www.kabwecouncil.gov.zm/?page_id=275
Official Website|https://www.kabwecouncil.gov.zm|Council Information|https://www.kabwecouncil.gov.zm/?page_id=275
Town Clerk|Jovax Ngoma|Administrative leadership|https://www.kabwecouncil.gov.zm/?page_id=2634
Institutional Management|Council Department|Council Department|https://www.kabwecouncil.gov.zm/?page_id=770
Development Planning|Council Department|Council Department|https://www.kabwecouncil.gov.zm/?page_id=770
Legal Services|Council Department|Council Department|https://www.kabwecouncil.gov.zm/?page_id=770
Engineering Services|Council Department|Council Department|https://www.kabwecouncil.gov.zm/?page_id=770
Finance|Council Department|Council Department|https://www.kabwecouncil.gov.zm/?page_id=770
Housing and Social Services|Council Department|Council Department|https://www.kabwecouncil.gov.zm/?page_id=770
Human Resource & Administration|Council Department|Council Department|https://www.kabwecouncil.gov.zm/?page_id=770
Public Health|Council Department|Council Department|https://www.kabwecouncil.gov.zm/?page_id=770
