source_name|description|source_url
Council homepage|Official council website and navigation used to identify services and departments|https://www.kabwecouncil.gov.zm
Licenses and levies|Official Council Services webpage|https://www.kabwecouncil.gov.zm/?page_id=2142
Waste Management|Official Council Services webpage|https://www.kabwecouncil.gov.zm/?page_id=2150
E-GP|Official Council Services webpage|https://www.kabwecouncil.gov.zm/?page_id=2155
Public Health Department|Official departmental webpage|https://www.kabwecouncil.gov.zm/?page_id=2640
Health Services Department|Official departmental webpage|https://www.kabwecouncil.gov.zm/?page_id=2649
Legal Services Department|Official departmental webpage|https://www.kabwecouncil.gov.zm/?page_id=3894
Planning Department|Official departmental webpage|https://www.kabwecouncil.gov.zm/?page_id=3897
Housing and Social Services Department|Official departmental webpage|https://www.kabwecouncil.gov.zm/?page_id=3900
Fisheries, Livestock and Veterinary Services Department|Official departmental webpage|https://www.kabwecouncil.gov.zm/?page_id=3903
Agriculture Department|Official departmental webpage|https://www.kabwecouncil.gov.zm/?page_id=3906
