financial_year|revenue_category|revenue_stream|actual_amount|source_page|source_validation_note
2025|Local Taxes|Residential Rates|1948368|21|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
2025|Local Taxes|Industrial / Commercial Rates|4492657|21|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
2025|Local Taxes|Personal Levy|222153|21|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
2025|Fees and Charges|Consent Fees|6000|22|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
2025|Fees and Charges|Survey Fees|8000|22|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
2025|Fees and Charges|Building Inspection Fees|249300|22|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
2025|Fees and Charges|Plan Scrutiny Fees|553935|22|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
2025|Fees and Charges|Change of Premise Use|59162|22|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
2025|Fees and Charges|Container / Ntemba Fees|16084|22|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
2025|Fees and Charges|Rentals / Lease of Council Properties|688925|22|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
2025|Fees and Charges|Application Form Fees|501500|22|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
2025|Fees and Charges|Search Fees|2150|22|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
2025|Fees and Charges|Notice Board Adverts|247111|22|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
2025|Fees and Charges|Market Fees|89016|22|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
2025|Fees and Charges|Parking Fees|262033|22|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
2025|Fees and Charges|Bus Station Fees|11770|22|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
2025|Fees and Charges|Affidavit Fees|6000|22|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
2025|Fees and Charges|Hire of Hall|1900|22|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
2025|Fees and Charges|Hire of Stadia|1120|22|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
2025|Fees and Charges|Body Transfer / Inspection Settlement|1800|22|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
2025|Fees and Charges|Boundary Location|349850|22|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
2025|Fees and Charges|Refuse Disposal Fees|1000|22|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
2025|Fees and Charges|Library Fees|24500|22|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
2025|Fees and Charges|Notice of Marriage|100|22|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
2025|Fees and Charges|Abattoir / Meat Inspection Fees|17150|22|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
2025|Fees and Charges|Registration of Clubs and Societies|24146|22|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
2025|Fees and Charges|Farm Produce|344437|22|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
2025|Fees and Charges|Communication Mast Levy|51900|22|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
2025|Fees and Charges|Illegal Parking Fees|123030|22|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
2025|Fees and Charges|Sale of Parks|200|22|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
2025|Fees and Charges|Billboard and Banner|484813|22|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
2025|Fees and Charges|Lease of Council Transport|559244|22|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
2025|Fees and Charges|Penalties|75000|22|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
2025|Fees and Charges|Ablution Fees|1200|22|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
2025|Fees and Charges|Extracts of Minutes|99600|22|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
2025|Fees and Charges|Recommendation Fees|234750|22|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
2025|Fees and Charges|Medical Fees|59280|22|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
2025|Land Development Charges|Premium Plots - Residential|5350800|23|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
2025|Land Development Charges|Premium Plots - Commercial|1365500|23|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
2025|Land Development Charges|Other|189750|23|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
2025|Licences|Liquor Licence|221180|23|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
2025|Licences|Firearm and Ammunition|15000|23|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
2025|Licences|Dog Licence|6200|23|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
2025|Licences|Petroleum|48370|23|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
2025|Licences|Occupancy|39620|23|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
2025|Licences|Other Licence|17550|23|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
2025|Levies|Bird Levy|54080|24|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
2025|Levies|Business Levy|807848|24|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
2025|Levies|Pole Levy|3442|24|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
2025|Levies|Telecommunication Mast|344437|24|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
2025|Permits|Health Permit|1136180|24|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
2025|Permits|Burial Permits and Grave Sites|150875|24|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
2025|Permits|Fire Certificate|1418357|24|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
2025|Permits|Extension of Business Hours Permits|1250|24|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
2025|Permits|Public Permits|2750|24|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
2025|Permits|Other Permits|17500|24|Detailed source amount; category total may differ from published total by K1 due to source rounding/reporting discrepancy.
