council|title|document_type|publication_year|description|file_format|source_type|source_page|source_url
Kabwe Municipal Council|2018 Financial Statement|Financial Report|2018.0|Kabwe Municipal Council financial statement for the 2018 financial year.|PDF|Official Council Publication|https://www.kabwecouncil.gov.zm/?page_id=195|https://www.kabwecouncil.gov.zm/wp-content/uploads/2024/09/FS-2018.pdf
Kabwe Municipal Council|2019 Financial Statement|Financial Report|2019.0|Kabwe Municipal Council financial statement for the 2019 financial year.|PDF|Official Council Publication|https://www.kabwecouncil.gov.zm/?page_id=195|https://www.kabwecouncil.gov.zm/wp-content/uploads/2024/09/FS-2019.pdf
Kabwe Municipal Council|2020 Financial Statement|Financial Report|2020.0|Kabwe Municipal Council financial statement for the 2020 financial year.|PDF|Official Council Publication|https://www.kabwecouncil.gov.zm/?page_id=195|https://www.kabwecouncil.gov.zm/wp-content/uploads/2024/09/FS-2020.pdf
Kabwe Municipal Council|2021 Financial Statement|Financial Report|2021.0|Kabwe Municipal Council financial statement for the 2021 financial year.|PDF|Official Council Publication|https://www.kabwecouncil.gov.zm/?page_id=195|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/10/FS-2021.pdf
Kabwe Municipal Council|2022 Financial Statement|Financial Report|2022.0|Kabwe Municipal Council financial statement for the 2022 financial year.|PDF|Official Council Publication|https://www.kabwecouncil.gov.zm/?page_id=195|https://www.kabwecouncil.gov.zm/wp-content/uploads/2024/09/Financial-Statement-2022.pdf
Kabwe Municipal Council|2023 Financial Statement|Financial Report|2023.0|Kabwe Municipal Council financial statement for the 2023 financial year.|PDF|Official Council Publication|https://www.kabwecouncil.gov.zm/?page_id=195|https://www.kabwecouncil.gov.zm/wp-content/uploads/2024/11/2023-FINANCIAL-STATEMENTS-KMC-1.pdf
Kabwe Municipal Council|2024 Financial Statement|Financial Report|2024.0|Kabwe Municipal Council financial statement for the 2024 financial year.|PDF|Official Council Publication|https://www.kabwecouncil.gov.zm/?page_id=195|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/10/KABWE-M-COUNCIL-2024-APPROVED-FINANCIAL-STATEMENTS.pdf
Kabwe Municipal Council|2025 BI Annual Budget Performance Report|Budget Performance Report|2025.0|Annual budget performance report for Kabwe Municipal Council for 2025.|PDF|Official Council Publication|https://www.kabwecouncil.gov.zm/?page_id=195|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/08/2025-BI-ANNUAL-FINANCIAL-STATEMENT-KABWE-M-COUNCIL-1-1.pdf
Kabwe Municipal Council|2024 Budget Head Mandate Objective|Budget Document|2024.0|Official Kabwe Municipal Council budget-related document for 2024.|PDF|Official Council Publication|https://www.kabwecouncil.gov.zm/?page_id=195|https://www.kabwecouncil.gov.zm/wp-content/uploads/2024/09/HeadMandateObjectiveSubProg-2024-1.pdf
Kabwe Municipal Council|2025 Kabwe Municipal Council OBB Approved Budget|Budget Document|2025.0|Official Kabwe Municipal Council budget-related document for 2025.|PDF|Official Council Publication|https://www.kabwecouncil.gov.zm/?page_id=195|https://www.kabwecouncil.gov.zm/wp-content/uploads/2025/05/2025-KABWE-M-COUNCIL-OBB.pdf
