project_id|council|project_name|sector|constituency|ward|approved_amount_zmw|status|funding_source|source_doc|scraped_at
KAB-0001|Kabwe Municipal Council|Construction of 1x3 CRB David Ramusho Secondary School|Education|Kabwe Central|David Ramusho.||Approved|CDF|CDF_PROJECTS_2025|2026-09-11T15:47:17.663407
KAB-0002|Kabwe Municipal Council|Construction of 1x3 CRB at Kasanda Malombe Secondary School|Education|Kabwe Central|Chirwa||Approved|CDF|CDF_PROJECTS_2025|2026-09-11T15:47:17.663407
KAB-0003|Kabwe Municipal Council|Procurement of 500 ordinary and 40 special Desks|Education|Kabwe Central|various wards||Approved|CDF|CDF_PROJECTS_2025|2026-09-11T15:47:17.663407
KAB-0004|Kabwe Municipal Council|Construction of an Ablution block at C gate Community School|Education|Kabwe Central|kaputula||Approved|CDF|CDF_PROJECTS_2025|2026-09-11T15:47:17.663407
KAB-0005|Kabwe Municipal Council|Construction of an Ablution Block at Mpima Prison Primary School|Education|Kabwe Central|mpima||Approved|CDF|CDF_PROJECTS_2025|2026-09-11T15:47:17.663407
KAB-0006|Kabwe Municipal Council|Construction of an Ablution Block at Katondo BOCCS Primary School|Education|Kabwe Central|Katondo||Approved|CDF|CDF_PROJECTS_2025|2026-09-11T15:47:17.663407
KAB-0007|Kabwe Municipal Council|Constuction of an Ablution Block at Kamushanga Market|Education|Kabwe Central|kalonga||Approved|CDF|CDF_PROJECTS_2025|2026-09-11T15:47:17.663407
KAB-0008|Kabwe Municipal Council|01 installation of solar powerd water reticulated system with lockable water Kiosks in Waya Community|Water and Sanitation|Kabwe Central|waya||Approved|CDF|CDF_PROJECTS_2025|2026-09-11T15:47:17.663407
KAB-0009|Kabwe Municipal Council|Construction of a Maternity Wing at Mpima Dairy Clinic|Health|Kabwe Central|mpima||Approved|CDF|CDF_PROJECTS_2025|2026-09-11T15:47:17.663407
KAB-0010|Kabwe Municipal Council|installation of a solar powered water reticulated system at Njanji market|Water and Sanitation|Kabwe Central|njanji||Approved|CDF|CDF_PROJECTS_2025|2026-09-11T15:47:17.663407
KAB-0011|Kabwe Municipal Council|Procurement of Medical Equipment for Magandanyama and Katondo clinic|Health|Kabwe Central|david ramushu and luansase||Approved|CDF|CDF_PROJECTS_2025|2026-09-11T15:47:17.663407
KAB-0012|Kabwe Municipal Council|Additional fund roads|Roads and Drainages|Kabwe Central|various wards||Approved|CDF|CDF_PROJECTS_2025|2026-09-11T15:47:17.663407
KAB-0013|Kabwe Municipal Council|installation of a solar powered water reticulated system at Kamushanga market|Water and Sanitation|Kabwe Central|kalonga||Approved|CDF|CDF_PROJECTS_2025|2026-09-11T15:47:17.663407
KAB-0014|Kabwe Municipal Council|installation of a solar powered water reticulated system at C-gate Community school|Education|Kabwe Central|kaputula||Approved|CDF|CDF_PROJECTS_2025|2026-09-11T15:47:17.663407
KAB-0015|Kabwe Municipal Council|procurement of tipper ruck|Roads and Drainages|Kabwe Central|||Approved|CDF|CDF_PROJECTS_2025|2026-09-11T15:47:17.663407
KAB-0016|Kabwe Municipal Council|Completion of Kabwe General Hospital Relative waiting shelter|Health|Kabwe Central|Luangwa||Approved|CDF|CDF_PROJECTS_2025|2026-09-11T15:47:17.663407
