project_id|council|project_name|sector|constituency|ward|approved_amount_zmw|status|funding_source|source_doc|scraped_at|has_amount_zmw|is_approved|sector_category|amount_band|has_ward|inferred_year
KAB-0001|Kabwe Municipal Council|Construction of 1x3 CRB David Ramusho Secondary School|Education|Kabwe Central|David Ramusho.|1703868.67|Approved|CDF|CDF_PROJECTS_2025|2026-09-11T22:05:32.010388|True|True|Social|Large (1M-5M)|True|2025
KAB-0002|Kabwe Municipal Council|Construction of 1x3 CRB at Kasanda Malombe Secondary School|Education|Kabwe Central|Chirwa|1703868.67|Approved|CDF|CDF_PROJECTS_2025|2026-09-11T22:05:32.010388|True|True|Social|Large (1M-5M)|True|2025
KAB-0003|Kabwe Municipal Council|Procurement of 500 ordinary and 40 special Desks|Education|Kabwe Central|various wards|1100000.0|Approved|CDF|CDF_PROJECTS_2025|2026-09-11T22:05:32.010388|True|True|Social|Large (1M-5M)|False|2025
KAB-0004|Kabwe Municipal Council|Construction of an Ablution block at C gate Community School|Education|Kabwe Central|kaputula|750000.0|Approved|CDF|CDF_PROJECTS_2025|2026-09-11T22:05:32.010388|True|True|Social|Medium (100K-1M)|True|2025
KAB-0005|Kabwe Municipal Council|Construction of an Ablution Block at Mpima Prison Primary School|Education|Kabwe Central|mpima|750000.0|Approved|CDF|CDF_PROJECTS_2025|2026-09-11T22:05:32.010388|True|True|Social|Medium (100K-1M)|True|2025
KAB-0006|Kabwe Municipal Council|Construction of an Ablution Block at Katondo BOCCS Primary School|Education|Kabwe Central|Katondo|750000.0|Approved|CDF|CDF_PROJECTS_2025|2026-09-11T22:05:32.010388|True|True|Social|Medium (100K-1M)|True|2025
KAB-0007|Kabwe Municipal Council|Constuction of an Ablution Block at Kamushanga Market|Education|Kabwe Central|kalonga|940678.8|Approved|CDF|CDF_PROJECTS_2025|2026-09-11T22:05:32.010388|True|True|Social|Medium (100K-1M)|True|2025
KAB-0008|Kabwe Municipal Council|01 installation of solar powerd water reticulated system with lockable water Kiosks in Waya Community|Water and Sanitation|Kabwe Central|waya|940678.8|Approved|CDF|CDF_PROJECTS_2025|2026-09-11T22:05:32.010388|True|True|Infrastructure|Medium (100K-1M)|True|2025
KAB-0009|Kabwe Municipal Council|Construction of a Maternity Wing at Mpima Dairy Clinic|Health|Kabwe Central|mpima|2666954.72|Approved|CDF|CDF_PROJECTS_2025|2026-09-11T22:05:32.010388|True|True|Social|Large (1M-5M)|True|2025
KAB-0010|Kabwe Municipal Council|installation of a solar powered water reticulated system at Njanji market|Water and Sanitation|Kabwe Central|njanji|251787.28|Approved|CDF|CDF_PROJECTS_2025|2026-09-11T22:05:32.010388|True|True|Infrastructure|Medium (100K-1M)|True|2025
KAB-0011|Kabwe Municipal Council|Procurement of Medical Equipment for Magandanyama and Katondo clinic|Health|Kabwe Central|david ramushu and luansase|1100000.0|Approved|CDF|CDF_PROJECTS_2025|2026-09-11T22:05:32.010388|True|True|Social|Large (1M-5M)|True|2025
KAB-0012|Kabwe Municipal Council|Additional fund roads|Roads and Drainages|Kabwe Central|various wards|464821.35|Approved|CDF|CDF_PROJECTS_2025|2026-09-11T22:05:32.010388|True|True|Infrastructure|Medium (100K-1M)|False|2025
KAB-0013|Kabwe Municipal Council|installation of a solar powered water reticulated system at Kamushanga market|Water and Sanitation|Kabwe Central|kalonga|251787.28|Approved|CDF|CDF_PROJECTS_2025|2026-09-11T22:05:32.010388|True|True|Infrastructure|Medium (100K-1M)|True|2025
KAB-0014|Kabwe Municipal Council|installation of a solar powered water reticulated system at C-gate Community school|Education|Kabwe Central|kaputula|251787.28|Approved|CDF|CDF_PROJECTS_2025|2026-09-11T22:05:32.010388|True|True|Social|Medium (100K-1M)|True|2025
KAB-0015|Kabwe Municipal Council|procurement of tipper ruck|Roads and Drainages|Kabwe Central|Unknown|1700000.0|Approved|CDF|CDF_PROJECTS_2025|2026-09-11T22:05:32.010388|True|True|Infrastructure|Large (1M-5M)|False|2025
KAB-0016|Kabwe Municipal Council|Sub Total|Unknown|Kabwe Central|Unknown|15326232.85|Approved|CDF|CDF_PROJECTS_2025|2026-09-11T22:05:32.010388|True|True|Other|Very Large (>=5M)|False|2025
KAB-0017|Kabwe Municipal Council|Completion of Kabwe General Hospital Relative waiting shelter|Health|Kabwe Central|Luangwa||Approved|CDF|CDF_PROJECTS_2025|2026-09-11T22:05:32.010388|False|True|Social|Unknown|True|2025
KAB-0018|Kabwe Municipal Council|Proposed Extension and rehabilitation of waya market shelter|Commerce|Kabwe Central|Waya||Approved|CDF|CDF_PROJECTS_2025|2026-09-11T22:05:32.010388|False|True|Economic|Unknown|True|2025
KAB-0019|Kabwe Municipal Council|Proposed completion of Nakoli Market shelter|Commerce|Kabwe Central|Nakoli||Approved|CDF|CDF_PROJECTS_2025|2026-09-11T22:05:32.010388|False|True|Economic|Unknown|True|2025
KAB-0020|Kabwe Municipal Council|Additional funds for njanji market structure|Commerce|Kabwe Central|Njanji||Approved|CDF|CDF_PROJECTS_2025|2026-09-11T22:05:32.010388|False|True|Economic|Unknown|True|2025
KAB-0021|Kabwe Municipal Council|Additional funds for kasanda market structure|Commerce|Kabwe Central|Justin Kabwe||Approved|CDF|CDF_PROJECTS_2025|2026-09-11T22:05:32.010388|False|True|Economic|Unknown|True|2025
KAB-0022|Kabwe Municipal Council|Completion of Double storey CRB at Family Future Community School|Education|Kabwe Central|Lukanga||Approved|CDF|CDF_PROJECTS_2025|2026-09-11T22:05:32.010388|False|True|Social|Unknown|True|2025
KAB-0023|Kabwe Municipal Council|Completion of Chindwin wall fence|Education|Kabwe Central|Kaputula||Approved|CDF|CDF_PROJECTS_2025|2026-09-11T22:05:32.010388|False|True|Social|Unknown|True|2025
KAB-0024|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0025|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0026|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0027|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0028|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0029|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
KAB-0030|Kabwe Municipal Council||Education|Kabwe Central|||Completed|CDF|NEWSLETTER_2024|2026-09-11T22:05:32.010388|False|False|Social|Unknown|False|2024
