page|pillar|sub_programme|source_doc
8|Economic Transformation|, that will enhance quality service delivery and create an enabling environment for|IDP_MAIN
14|Unknown|Assessment of The Existing Land Use and Settlement Pattern In The District ......... 22|IDP_MAIN
14|Unknown|Spatial Analysis and Land use planning .................................................................. 22|IDP_MAIN
14|Unknown|Description of the Existing state of Land Use and Development ......................... 22|IDP_MAIN
14|Unknown|Overall Settlement Pattern of the District ................................................................. 24|IDP_MAIN
14|Unknown|Environment and Climate Change Analysis ............................................................... 49|IDP_MAIN
14|Unknown|Key Government Priority Being and to be implemented at a Local Level ............. 60|IDP_MAIN
14|Unknown|Issues Arising from the Public Participation Process ................................................. 64|IDP_MAIN
14|Unknown|Impact of changes anticipated over the next ten years............................................ 64|IDP_MAIN
14|Unknown|Key Government Priorities Being and To Be Implemented at a Local Level ......... 72|IDP_MAIN
14|Unknown|Key Government Priorities Being and to be Implemented at a Local Level ......... 96|IDP_MAIN
14|Unknown|Impact of Changes Anticipated Over the Next Ten Years ................................. 110|IDP_MAIN
14|Unknown|Community Development and Social Welfare............................................................... 112|IDP_MAIN
14|Unknown|Housing and Human settlement ............................................................................... 115|IDP_MAIN
14|Unknown|Land Management and Administration ................................................................... 115|IDP_MAIN
14|Unknown|Consideration of the Underlying Factors Contributing to the Issues Identified. 131|IDP_MAIN
14|Unknown|Solid Waste Management Situation ........................................................................ 140|IDP_MAIN
14|Unknown|Issues Arising from the Public Participation Process ............................................ 142|IDP_MAIN
15|Unknown|Impact on Gender and Vulnerable Groups .............................................................. 143|IDP_MAIN
15|Unknown|FINANCIAL PLAN FOR THE PERIOD OF FIVE (5) YEARS - 2023 TO ............ 272|IDP_MAIN
16|Unknown|NDP Eighth National Development Plan|IDP_MAIN
17|Unknown|. Town Clerk Jovax Ngoma|IDP_MAIN
17|Unknown|. Director Public Health Christopher Mtonga|IDP_MAIN
17|Unknown|. Director of Finance Benjamin Kasongo|IDP_MAIN
17|Unknown|. Director of Human Resource and Administration Elina Nyirenda|IDP_MAIN
17|Unknown|. Director Housing and Social Services Boyd Mboyi|IDP_MAIN
17|Unknown|. District Education Board Secretary Dr. Chrispin Maleya|IDP_MAIN
17|Unknown|. District Forestry Officer Martin Mpundu|IDP_MAIN
17|Unknown|. District Medical Officer Dr. Sylvester Kasonde|IDP_MAIN
17|Unknown|. District Community Development Officer Annie M. Siame|IDP_MAIN
17|Unknown|.District Social Welfare Officer Musenge Musonda|IDP_MAIN
17|Unknown|.District Tourism and Culture Officer Chileshe M. Mwila|IDP_MAIN
17|Unknown|.District Fisheries and Livestock Officer Dr. Kenneth Chawinga|IDP_MAIN
17|Unknown|.Kennedy Pezo District|IDP_MAIN
17|Unknown|.Director of Development Planning (IDP Manager) Chansa Mwila|IDP_MAIN
17|Unknown|.District Agricultural Coordinating Officer Etambuyu Anamela|IDP_MAIN
17|Unknown|.District Planning Officer Leontina B. Chikwanda|IDP_MAIN
17|Unknown|.District Health Planner Lydia Kaponda|IDP_MAIN
17|Unknown|.Patrick Mulenga Chief Community Dev.|IDP_MAIN
17|Unknown|.Musanje Pamphrey Health Inspector|IDP_MAIN
17|Unknown|.District Planning Officer (DEBs) Patience Chanda|IDP_MAIN
17|Unknown|.Town Planner Mutukwa Kamuti|IDP_MAIN
17|Unknown|.Town Planner Naomi Kalengo|IDP_MAIN
18|Unknown|.Town Planner Chalwe Kamukwamba|IDP_MAIN
18|Unknown|.Town Planner Logan Mwape|IDP_MAIN
18|Unknown|.Darius Maluzi Forestry Officer|IDP_MAIN
18|Unknown|.Jeff Chalwe Agriculture specialist|IDP_MAIN
18|Unknown|. Patson Phiri - Assistant Director PP(MLG)|IDP_MAIN
18|Unknown|. Justin Kapenda - Assistant Director Provincial Planning Unit (PPU)|IDP_MAIN
18|Unknown|. Chanda Senkwe -Provincial Planner Physical Planning and Housing (PPH)|IDP_MAIN
18|Unknown|. Wycliff Phiri - Senior Planner Physical Planning and Housing (PPH)|IDP_MAIN
19|Economic Transformation|Introduction and Background|IDP_MAIN
19|Economic Transformation|Description of the IDP area|IDP_MAIN
20|Unknown|Historical Perspective of the Kabwe IDP area|IDP_MAIN
21|Unknown|were made here.|IDP_MAIN
21|Unknown|General Physical Characteristics|IDP_MAIN
21|Unknown|.2.1 Topography|IDP_MAIN
22|Unknown|Drainage Pattern|IDP_MAIN
23|Unknown|.5.1 Temperature|IDP_MAIN
23|Unknown|(m.a.s.l) Annual Temp oC Annual Temp.oC|IDP_MAIN
23|Unknown|,207 20.8 29.8 14.9|IDP_MAIN
23|Unknown|/2000). Most of the rainfall is between October and April, with December and|IDP_MAIN
23|Unknown|Relative Humidity|IDP_MAIN
23|Unknown|Sunshine and Winds|IDP_MAIN
23|Unknown|and 10.2 h/d is experienced. The shortest sunshine duration is during the months|IDP_MAIN
24|Unknown|m/s. In comparison, the wind speed for Central province and the rest of Zambia|IDP_MAIN
24|Unknown|General Administration|IDP_MAIN
24|Unknown|Central Administration|IDP_MAIN
25|Unknown|Local Authority|IDP_MAIN
26|Unknown|.3.3 Governance|IDP_MAIN
27|Unknown|Demographic Analysis|IDP_MAIN
27|Unknown|Population and Population Growth|IDP_MAIN
27|Unknown|District Population Growth Trends|IDP_MAIN
27|Unknown|% to 0.5% between the period 1969 – 1980 and 1980 – 2000. And then|IDP_MAIN
28|Unknown|Age Structure and Dependency Burden|IDP_MAIN
29|Unknown|Total Fertility Rate (TFR)|IDP_MAIN
29|Unknown|%, that is, from 4.2 in 2020 to 3.8 in 2035. If fertility rate were to remain constant at|IDP_MAIN
29|Unknown|District Population|IDP_MAIN
30|Unknown|Projected Population and Characteristics|IDP_MAIN
30|Unknown|,325 by 2035. From the positive point of view, this population growth provides|IDP_MAIN
30|Unknown|Population Projection by Constituency|IDP_MAIN
31|Unknown|,275 people in 2022 whereas Bwacha Constituency had 199,391. However, in 2035|IDP_MAIN
31|Unknown|Population Projection by Gender|IDP_MAIN
32|Unknown|Projected Population Density|IDP_MAIN
32|Unknown|District Population by Ward|IDP_MAIN
34|Unknown|Life Expectancy at Birth: Male – Female|IDP_MAIN
34|Unknown|Life Expectancy at Birth: Rural-Urban Differentials|IDP_MAIN
35|Unknown|Population Analysis for Key Ages|IDP_MAIN
35|Unknown|Population in Age Group (0-4) Years|IDP_MAIN
35|Unknown|in 2035. This population is also referred to as population for Early Childhood|IDP_MAIN
36|Unknown|Population in Age Group (5-14) Years|IDP_MAIN
37|Unknown|Population in Age Group (14-19) Years|IDP_MAIN
37|Unknown|Population in Economically Active Age Group (15 – 64) Years|IDP_MAIN
38|Unknown|Population in Female Reproductive Age Group (15-49) Years|IDP_MAIN
38|Unknown|) to 48,581 in 2035 (CSO Population and Demographic Projections, 2011 – 2035).|IDP_MAIN
39|Unknown|Expected Population Behaviour during IDP Period|IDP_MAIN
39|Unknown|+ years, forming an expansive pyramid structure.|IDP_MAIN
39|Unknown|Impact of Population Trends on Land Use and Spatial Development|IDP_MAIN
40|Unknown|Assessment of The Existing Land Use and Settlement Pattern In The District|IDP_MAIN
40|Unknown|Spatial Analysis and Land use planning|IDP_MAIN
40|Unknown|Description of the Existing state of Land Use and Development|IDP_MAIN
40|Unknown|Existing Land Uses|IDP_MAIN
41|Unknown|.2 Land Use Map|IDP_MAIN
41|Unknown|Land Tenure system|IDP_MAIN
42|Unknown|Overall Settlement Pattern of the District|IDP_MAIN
42|Unknown|Distribution of informal settlements|IDP_MAIN
43|Unknown|Assessment of the Impact of The Continuation of Population Growth on|IDP_MAIN
45|Unknown|Urbanizing settlements and Growth Nodes|IDP_MAIN
45|Unknown|Assessment of the Availability of Land for Planned Urban Expansion|IDP_MAIN
47|Unknown|. Economic Sector|IDP_MAIN
47|Unknown|Key Government Priorities Being and To Be Implemented at A Local Level|IDP_MAIN
47|Unknown|Expand agriculture infrastructure|IDP_MAIN
47|Unknown|Improve capacity for agriculture extension officers|IDP_MAIN
47|Unknown|Promote Diversification within the Agriculture Sector|IDP_MAIN
48|Unknown|Improve production and productivity|IDP_MAIN
48|Unknown|Enhance Agriculture Value Chains|IDP_MAIN
48|Unknown|Description of the Existing State of Development|IDP_MAIN
48|Unknown|Availability of Service Including Key Indicators of Performance|IDP_MAIN
49|Unknown|Crop production|IDP_MAIN
50|Unknown|Average yield per crop (per hectare) for the district from 2017 to 2021|IDP_MAIN
50|Unknown|2018 2019 2020 2021|IDP_MAIN
50|Unknown|Block Profiles in Kabwe District|IDP_MAIN
51|Unknown|Distribution of farmers according to gender|IDP_MAIN
51|Unknown|,825 which translates to 47.4 percent of the total registered farmers in the district.|IDP_MAIN
52|Unknown|Inventory of farmer organizations in the district|IDP_MAIN
52|Unknown|are clubs and 1 is a district farmer association. 592 registered groups have a paid-|IDP_MAIN
53|Unknown|177 445 146 592|IDP_MAIN
